Классификация,Тип аромата,Пол,Начальная нота,Нота сердца,Конечная нота,Сделано в,Премьера аромата,Страна ТМ,Code,Brand,Perfume,Время применения,Тип кожи,Возрас,Объем
масс маркет,"фруктовые, цветочные",для женщин,"Груша, Клементин, Красный апельсин, Мандарин","Гибискус, Имбирь, Тубероза, Фрезия, Цветок имбиря","Ваниль, Кедр, Мускус, Сандаловое дерево",Беларусь,2002,Беларусь,248733,Dilis Parfum,Dilis Parfum Classic Collection №24,,,,
масс маркет,"фруктовые, цветочные",для женщин,"Абрикос, Мандарин","Апельсиновый цвет, Жасмин, Нероли","Ваниль, Мускус",Украина,2000,Украина,515755,Evis,Evis Intense Collection №405,,,,
элитная,"фруктовые, цветочные",для женщин,"Листья чая, Пион, Цветок персика","Амбра, Зеленая сирень, Мускус","Кедр, Китайский османтус, Птитгрейн",Франция,2002,Франция,3173,Lanvin,Lanvin Eclat D`Arpege,,,,
элитная,"восточные, древесные",для мужчин,"Белый лимон, Карамбола, Розовое дерево","Кедр, Шалфей, Эстрагон","Амбра, Древесина платана, Мускус",Италия,2006,Италия,4176,Versace,Versace Man Eau Fraiche,,,,
элитная,цветочные,для женщин,"Гранат, Ледяной аккорд, Юзу","Лотос, Магнолия, Пион","Амбра, Красное дерево, Мускус",Италия,2006,Италия,4146,Versace,Versace Bright Crystal,,,,
элитная,"водяные, цветочные",для женщин,"Киви, Ревень, Розовый перец","Арбуз, Жасмин, Цикламен","Лимонное дерево, Мускус, Сандал",Франция,2009,Италия,11180,Dolce&Gabbana,Dolce&Gabbana Anthology L`Imperatrice 3,,,,
нишевая,"фруктовые, шипровые",для мужчин,"Бергамот, Индийский ананас, Красное яблоко, Черная смородина","Береза, Жасмин, Листья пачули, Роза","Амбра, Ваниль, Дубовый мох, Мускус",Франция,2010,Франция,35179,Creed,Creed Aventus,,,,
миддл маркет,"древесные, фруктовые",для мужчин,"Бергамот, Мята, Черная смородина","Водный аккорд, Дыня, Кардамон, Мускатный орех, Яблоко","Древесные ноты, Каппучино, Янтарь",Испания,2007,Испания,8383,Antonio Banderas,Blue Seduction Antonio Banderas,,,,
элитная,"древесные, мускусные, цветочные",для женщин,"Бергамот, Груша, Инжир, Мандарин","Жасмин, Кардамон, Лилия, Морской нарцисс","Кедр, Мускус, Оливковое дерево, Сандаловое дерево",Италия,2009,Италия,10351,Versace,Versace Versense,,,,
элитная,"сладкие, фруктовые, цветочные",для женщин,"Груша, Черная смородина","Апельсиновый цвет, Жасмин, Ирис","Бобы тонка, Ваниль, Пачули, Пралине",Франция,2012,Франция,33333,Lancome,Lancome La Vie Est Belle,,,,
